FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
1,-7.58397098089E+56,1752,31553,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,130,-8430070.42735836,258331.82058464
2,-7.58397098089E+56,1753,31534,67,Caida,20,Caida de detritos,Caida,cd,131,-8442006.35051312,251832.989531075
3,-7.58397098089E+56,1754,31551,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,132,-8442964.9350048,256351.1963302
4,-7.58397098089E+56,1755,31540,67,Caida,15,Caida de roca,Caida,cr,133,-8442624.79217811,255639.415530152
5,-7.58397098089E+56,1757,31538,67,Caida,15,Caida de roca,Caida,cr,134,-8442501.10386738,255391.840375088
6,-7.58397098088E+56,1758,30097,67,Caida,20,Caida de detritos,Caida,cd,135,-8492594.87472435,178319.943867579
7,-7.58397098088E+56,1760,30093,67,Caida,15,Caida de roca,Caida,cr,136,-8488142.09509262,183795.357657587
8,-7.58397098088E+56,1762,30090,72,Reptación,8,Reptacion de suelos,Reptación,lr,137,-8484709.74405228,187352.902324489
9,-7.58397098089E+56,11408,31549,67,Caida,20,Caida de detritos,Caida,cd,5889,-8434059.37574134,232245.209234387
10,-7.58397098089E+56,1764,31546,67,Caida,20,Caida de detritos,Caida,cd,138,-8443119.54542105,254463.436910116
11,-7.58397098088E+56,1765,29319,68,Volcamiento,10,Volcamiento de roca,Volcamiento,vr,139,-8541018.85321942,136716.987514593
12,-7.58397098089E+56,1766,31541,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,140,-8413681.72457186,236670.054851109
13,-7.58397098089E+56,1767,31535,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,141,-8411919.16600474,245736.704616016
14,-7.58397098089E+56,1768,31556,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,142,-8429761.20652586,258393.715541526
15,-7.58397098089E+56,1769,31559,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,143,-8453973.19577339,262231.247478046
16,-7.58397098088E+56,1632,29916,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,36,-8085351.07083141,737241.605035134
17,-7.58397098088E+56,1634,29913,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,37,-8084670.78506671,737926.444670283
18,-7.58397098088E+56,1636,29912,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,38,-8084485.25265627,738580.163106651
19,-7.58397098088E+56,1637,29909,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,39,-8086124.12291266,738611.292775298
20,-7.58397098088E+56,1638,30125,67,Caida,15,Caida de roca,Caida,cr,40,-8077094.87533845,683320.85423553
21,-7.58397098088E+56,1640,30119,71,Flujo,16,Avalancha de detritos,Avalancha,ar,41,-8071590.7448985,685871.084892726
22,-7.58397098088E+56,1641,30073,71,Flujo,5,Flujo de detritos,Flujo,fd,42,-8072271.0306632,682885.459861274
23,-7.58397098088E+56,1642,30070,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,43,-8071467.05658776,686804.123486062
24,-7.58397098088E+56,1643,29919,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,44,-8109068.30683601,744214.91471982
25,-7.58397098088E+56,1644,29918,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,45,-8112655.26818127,744650.775908945
26,-7.58397098088E+56,1646,30136,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,46,-8076167.21284097,686959.631341191
27,-7.58397098088E+56,1647,30127,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,47,-8081702.26538644,685964.388160959
28,-7.58397098088E+56,1648,29971,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,48,-8066705.05612354,807296.103495072
29,-7.58397098088E+56,1650,29970,71,Flujo,17,Flujo de tierra,Flujo,ft,49,-8067076.12116706,807233.763270853
30,-7.58397098088E+56,1651,29969,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,50,-8064076.67926995,816928.585623395
31,-7.58397098088E+56,1653,29967,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,51,-8064354.97799694,808324.727376979
32,-7.58397098088E+56,1655,29927,67,Caida,15,Caida de roca,Caida,cr,52,-8088412.35682823,719034.175300136
33,-7.58397098088E+56,1656,29924,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,53,-8093576.34433017,735280.520100799
34,-7.58397098088E+56,1657,29923,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,54,-8091133.49999835,731732.065964018
35,-7.58397098088E+56,2643,31005,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2174,-8370442.90899491,540335.753214545
36,-7.58397098088E+56,1658,29922,71,Flujo,16,Avalancha de detritos,Avalancha,ar,55,-8085969.51249641,733319.504369464
37,-7.58397098088E+56,1659,29921,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,56,-8087299.1619203,736089.848318084
38,-7.58397098088E+56,1660,29920,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,57,-8094318.4743059,699183.827835453
39,-7.58397098086E+56,6155,1534,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1451,-8343395.83495585,572205.151316851
40,-7.58397098088E+56,2645,31004,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2175,-8368880.98521959,540625.776806785
41,-7.58397098086E+56,6156,1410,72,Reptación,9,Solifluxion,Reptación,ls,1452,-8113601.79309857,765029.004773999
42,-7.58397098088E+56,1661,29915,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,58,-8040637.74210366,722799.673062887
43,-7.58397098086E+56,7224,581,68,Volcamiento,1,Volcamiento flexural de roca,Volcamiento,vf,3173,-8304553.99087635,571503.812010571
44,-7.58397098089E+56,12438,35340,71,Flujo,5,Flujo de detritos,Flujo,fd,6643,-8133474.17756712,578451.381450089
45,-7.58397098088E+56,2647,30959,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2176,-8422208.47596461,566739.916222018
46,-7.58397098086E+56,6157,1536,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1453,-8376019.24860368,472736.098295809
47,-7.58397098088E+56,1663,29941,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,59,-8077775.16110315,723328.729984133
48,-7.58397098086E+56,7225,580,71,Flujo,17,Flujo de tierra,Flujo,ft,3174,-8303700.54140983,571396.391914704
49,-7.58397098088E+56,2176,30967,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1869,-8421352.09512195,546340.006013196
50,-7.58397098088E+56,2178,30965,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1870,-8417633.80149047,561915.207502818
51,-7.58397098088E+56,10854,30964,67,Caida,20,Caida de detritos,Caida,cd,5509,-8412989.99761253,539040.715388135
52,-7.58397098088E+56,2180,30961,67,Caida,20,Caida de detritos,Caida,cd,1871,-8342153.39811911,668500.13392077
53,-7.58397098088E+56,2181,30958,67,Caida,20,Caida de detritos,Caida,cd,1872,-8428372.01353086,564341.155776001
54,-7.58397098088E+56,2183,30957,71,Flujo,5,Flujo de detritos,Flujo,fd,1873,-8412142.63364862,563192.765121541
55,-7.58397098088E+56,2337,30249,67,Caida,20,Caida de detritos,Caida,cd,1969,-8408702.19346616,438782.409238521
56,-7.58397098088E+56,2338,30242,67,Caida,15,Caida de roca,Caida,cr,1970,-8454181.99406873,445868.648953743
57,-7.58397098088E+56,2340,30207,67,Caida,15,Caida de roca,Caida,cr,1971,-8438184.69061187,452685.204655149
58,-7.58397098088E+56,2341,30668,67,Caida,15,Caida de roca,Caida,cr,1972,-8394217.20236111,449300.378453443
59,-7.58397098088E+56,2343,30701,67,Caida,20,Caida de detritos,Caida,cd,1973,-8419546.04770331,617852.694706963
60,-7.58397098088E+56,10860,30715,67,Caida,15,Caida de roca,Caida,cr,5513,-8435668.4495549,622074.537594808
61,-7.58397098088E+56,10862,30714,67,Caida,20,Caida de detritos,Caida,cd,5514,-8440674.1530974,625925.736766831
62,-7.58397098089E+56,2486,31305,67,Caida,20,Caida de detritos,Caida,cd,2066,-8057687.90530445,658371.840880546
63,-7.58397098089E+56,2487,31296,67,Caida,15,Caida de roca,Caida,cr,2067,-8057807.12847909,658448.501383627
64,-7.58397098088E+56,2489,30901,67,Caida,23,Caida de Tierras,Caida,ct,2068,-8356568.64132928,622861.613969029
65,-7.58397098088E+56,2491,30861,72,Reptación,8,Reptacion de suelos,Reptación,lr,2069,-8351250.04352241,604408.818428049
66,-7.58397098088E+56,2493,30857,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2070,-8414179.85602739,666164.836344298
67,-7.58397098088E+56,2495,30856,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2071,-8416987.50746624,667901.986023429
68,-7.58397098089E+56,2616,31411,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2158,-8071939.85517809,589827.540482124
69,-7.58397098089E+56,2617,31235,67,Caida,20,Caida de detritos,Caida,cd,2159,-8397004.29609564,491378.9367799
70,-7.58397098088E+56,2618,31144,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,2160,-8403772.12528376,588861.444921265
71,-7.58397098088E+56,2620,31143,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2161,-8393878.29640528,580308.156319609
72,-7.58397098088E+56,2622,31142,67,Caida,20,Caida de detritos,Caida,cd,2162,-8403881.58952392,588224.220533309
73,-7.58397098088E+56,2623,31140,67,Caida,15,Caida de roca,Caida,cr,2163,-8377226.60744436,569077.175249953
74,-7.58397098088E+56,2625,31136,71,Flujo,6,Flujo de lodo,Flujo,fl,2164,-8407450.30682916,561803.741444373
75,-7.58397098088E+56,2185,30930,67,Caida,20,Caida de detritos,Caida,cd,1874,-8413627.96961427,585491.674925858
76,-7.58397098088E+56,2187,30929,71,Flujo,5,Flujo de detritos,Flujo,fd,1875,-8417035.01394949,586084.158319716
77,-7.58397098088E+56,2189,30750,67,Caida,23,Caida de Tierras,Caida,ct,1876,-8394938.61455509,657769.440573106
78,-7.58397098088E+56,10870,31092,67,Caida,20,Caida de detritos,Caida,cd,5518,-8360162.22006168,526305.226898106
79,-7.58397098088E+56,2190,30876,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1877,-8361732.62883123,593289.881894802
